date_id,dt,month,quarter,year
20240417,2024-04-17,4,2,2024
20240418,2024-04-18,4,2,2024
20240419,2024-04-19,4,2,2024
20240420,2024-04-20,4,2,2024
20240421,2024-04-21,4,2,2024
20240422,2024-04-22,4,2,2024
20240423,2024-04-23,4,2,2024
20240424,2024-04-24,4,2,2024
20240425,2024-04-25,4,2,2024
20240426,2024-04-26,4,2,2024
20240427,2024-04-27,4,2,2024
20240428,2024-04-28,4,2,2024
20240429,2024-04-29,4,2,2024
20240430,2024-04-30,4,2,2024
20240501,2024-05-01,5,2,2024
20240502,2024-05-02,5,2,2024
20240503,2024-05-03,5,2,2024
20240504,2024-05-04,5,2,2024
20240505,2024-05-05,5,2,2024
20240506,2024-05-06,5,2,2024
20240507,2024-05-07,5,2,2024
20240508,2024-05-08,5,2,2024
20240509,2024-05-09,5,2,2024
20240510,2024-05-10,5,2,2024
20240511,2024-05-11,5,2,2024
20240512,2024-05-12,5,2,2024
20240513,2024-05-13,5,2,2024
20240514,2024-05-14,5,2,2024
20240515,2024-05-15,5,2,2024
20240516,2024-05-16,5,2,2024
20240517,2024-05-17,5,2,2024
20240518,2024-05-18,5,2,2024
20240519,2024-05-19,5,2,2024
20240520,2024-05-20,5,2,2024
20240521,2024-05-21,5,2,2024
20240522,2024-05-22,5,2,2024
20240523,2024-05-23,5,2,2024
20240524,2024-05-24,5,2,2024
20240525,2024-05-25,5,2,2024
20240526,2024-05-26,5,2,2024
20240527,2024-05-27,5,2,2024
20240528,2024-05-28,5,2,2024
20240529,2024-05-29,5,2,2024
20240530,2024-05-30,5,2,2024
20240531,2024-05-31,5,2,2024
20240601,2024-06-01,6,2,2024
20240602,2024-06-02,6,2,2024
20240603,2024-06-03,6,2,2024
20240604,2024-06-04,6,2,2024
20240605,2024-06-05,6,2,2024
20240606,2024-06-06,6,2,2024
20240607,2024-06-07,6,2,2024
20240608,2024-06-08,6,2,2024
20240609,2024-06-09,6,2,2024
20240610,2024-06-10,6,2,2024
20240611,2024-06-11,6,2,2024
20240612,2024-06-12,6,2,2024
20240613,2024-06-13,6,2,2024
20240614,2024-06-14,6,2,2024
20240615,2024-06-15,6,2,2024
20240616,2024-06-16,6,2,2024
20240617,2024-06-17,6,2,2024
20240618,2024-06-18,6,2,2024
20240619,2024-06-19,6,2,2024
20240620,2024-06-20,6,2,2024
20240621,2024-06-21,6,2,2024
20240622,2024-06-22,6,2,2024
20240623,2024-06-23,6,2,2024
20240624,2024-06-24,6,2,2024
20240625,2024-06-25,6,2,2024
20240626,2024-06-26,6,2,2024
20240627,2024-06-27,6,2,2024
20240628,2024-06-28,6,2,2024
20240629,2024-06-29,6,2,2024
20240630,2024-06-30,6,2,2024
20240701,2024-07-01,7,3,2024
20240702,2024-07-02,7,3,2024
20240703,2024-07-03,7,3,2024
20240704,2024-07-04,7,3,2024
20240705,2024-07-05,7,3,2024
20240706,2024-07-06,7,3,2024
20240707,2024-07-07,7,3,2024
20240708,2024-07-08,7,3,2024
20240709,2024-07-09,7,3,2024
20240710,2024-07-10,7,3,2024
20240711,2024-07-11,7,3,2024
20240712,2024-07-12,7,3,2024
20240713,2024-07-13,7,3,2024
20240714,2024-07-14,7,3,2024
20240715,2024-07-15,7,3,2024
20240716,2024-07-16,7,3,2024
20240717,2024-07-17,7,3,2024
20240718,2024-07-18,7,3,2024
20240719,2024-07-19,7,3,2024
20240720,2024-07-20,7,3,2024
20240721,2024-07-21,7,3,2024
20240722,2024-07-22,7,3,2024
20240723,2024-07-23,7,3,2024
20240724,2024-07-24,7,3,2024
20240725,2024-07-25,7,3,2024
20240726,2024-07-26,7,3,2024
20240727,2024-07-27,7,3,2024
20240728,2024-07-28,7,3,2024
20240729,2024-07-29,7,3,2024
20240730,2024-07-30,7,3,2024
20240731,2024-07-31,7,3,2024
20240801,2024-08-01,8,3,2024
20240802,2024-08-02,8,3,2024
20240803,2024-08-03,8,3,2024
20240804,2024-08-04,8,3,2024
20240805,2024-08-05,8,3,2024
20240806,2024-08-06,8,3,2024
20240807,2024-08-07,8,3,2024
20240808,2024-08-08,8,3,2024
20240809,2024-08-09,8,3,2024
20240810,2024-08-10,8,3,2024
20240811,2024-08-11,8,3,2024
20240812,2024-08-12,8,3,2024
20240813,2024-08-13,8,3,2024
20240814,2024-08-14,8,3,2024
20240815,2024-08-15,8,3,2024
20240816,2024-08-16,8,3,2024
20240817,2024-08-17,8,3,2024
20240818,2024-08-18,8,3,2024
20240819,2024-08-19,8,3,2024
20240820,2024-08-20,8,3,2024
20240821,2024-08-21,8,3,2024
20240822,2024-08-22,8,3,2024
20240823,2024-08-23,8,3,2024
20240824,2024-08-24,8,3,2024
20240825,2024-08-25,8,3,2024
20240826,2024-08-26,8,3,2024
20240827,2024-08-27,8,3,2024
20240828,2024-08-28,8,3,2024
20240829,2024-08-29,8,3,2024
20240830,2024-08-30,8,3,2024
20240831,2024-08-31,8,3,2024
20240901,2024-09-01,9,3,2024
20240902,2024-09-02,9,3,2024
20240903,2024-09-03,9,3,2024
20240904,2024-09-04,9,3,2024
20240905,2024-09-05,9,3,2024
20240906,2024-09-06,9,3,2024
20240907,2024-09-07,9,3,2024
20240908,2024-09-08,9,3,2024
20240909,2024-09-09,9,3,2024
20240910,2024-09-10,9,3,2024
20240911,2024-09-11,9,3,2024
20240912,2024-09-12,9,3,2024
20240913,2024-09-13,9,3,2024
20240914,2024-09-14,9,3,2024
20240915,2024-09-15,9,3,2024
20240916,2024-09-16,9,3,2024
20240917,2024-09-17,9,3,2024
20240918,2024-09-18,9,3,2024
20240919,2024-09-19,9,3,2024
20240920,2024-09-20,9,3,2024
20240921,2024-09-21,9,3,2024
20240922,2024-09-22,9,3,2024
20240923,2024-09-23,9,3,2024
20240924,2024-09-24,9,3,2024
20240925,2024-09-25,9,3,2024
20240926,2024-09-26,9,3,2024
20240927,2024-09-27,9,3,2024
20240928,2024-09-28,9,3,2024
20240929,2024-09-29,9,3,2024
20240930,2024-09-30,9,3,2024
20241001,2024-10-01,10,4,2024
20241002,2024-10-02,10,4,2024
20241003,2024-10-03,10,4,2024
20241004,2024-10-04,10,4,2024
20241005,2024-10-05,10,4,2024
20241006,2024-10-06,10,4,2024
20241007,2024-10-07,10,4,2024
20241008,2024-10-08,10,4,2024
20241009,2024-10-09,10,4,2024
20241010,2024-10-10,10,4,2024
20241011,2024-10-11,10,4,2024
20241012,2024-10-12,10,4,2024
20241013,2024-10-13,10,4,2024
20241014,2024-10-14,10,4,2024
20241015,2024-10-15,10,4,2024
20241016,2024-10-16,10,4,2024
20241017,2024-10-17,10,4,2024
20241018,2024-10-18,10,4,2024
20241019,2024-10-19,10,4,2024
20241020,2024-10-20,10,4,2024
20241021,2024-10-21,10,4,2024
20241022,2024-10-22,10,4,2024
20241023,2024-10-23,10,4,2024
20241024,2024-10-24,10,4,2024
20241025,2024-10-25,10,4,2024
20241026,2024-10-26,10,4,2024
20241027,2024-10-27,10,4,2024
20241028,2024-10-28,10,4,2024
20241029,2024-10-29,10,4,2024
20241030,2024-10-30,10,4,2024
20241031,2024-10-31,10,4,2024
20241101,2024-11-01,11,4,2024
20241102,2024-11-02,11,4,2024
20241103,2024-11-03,11,4,2024
20241104,2024-11-04,11,4,2024
20241105,2024-11-05,11,4,2024
20241106,2024-11-06,11,4,2024
20241107,2024-11-07,11,4,2024
20241108,2024-11-08,11,4,2024
20241109,2024-11-09,11,4,2024
20241110,2024-11-10,11,4,2024
20241111,2024-11-11,11,4,2024
20241112,2024-11-12,11,4,2024
20241113,2024-11-13,11,4,2024
20241114,2024-11-14,11,4,2024
20241115,2024-11-15,11,4,2024
20241116,2024-11-16,11,4,2024
20241117,2024-11-17,11,4,2024
20241118,2024-11-18,11,4,2024
20241119,2024-11-19,11,4,2024
20241120,2024-11-20,11,4,2024
20241121,2024-11-21,11,4,2024
20241122,2024-11-22,11,4,2024
20241123,2024-11-23,11,4,2024
20241124,2024-11-24,11,4,2024
20241125,2024-11-25,11,4,2024
20241126,2024-11-26,11,4,2024
20241127,2024-11-27,11,4,2024
20241128,2024-11-28,11,4,2024
20241129,2024-11-29,11,4,2024
20241130,2024-11-30,11,4,2024
20241201,2024-12-01,12,4,2024
20241202,2024-12-02,12,4,2024
20241203,2024-12-03,12,4,2024
20241204,2024-12-04,12,4,2024
20241205,2024-12-05,12,4,2024
20241206,2024-12-06,12,4,2024
20241207,2024-12-07,12,4,2024
20241208,2024-12-08,12,4,2024
20241209,2024-12-09,12,4,2024
20241210,2024-12-10,12,4,2024
20241211,2024-12-11,12,4,2024
20241212,2024-12-12,12,4,2024
20241213,2024-12-13,12,4,2024
20241214,2024-12-14,12,4,2024
20241215,2024-12-15,12,4,2024
20241216,2024-12-16,12,4,2024
20241217,2024-12-17,12,4,2024
20241218,2024-12-18,12,4,2024
20241219,2024-12-19,12,4,2024
20241220,2024-12-20,12,4,2024
20241221,2024-12-21,12,4,2024
20241222,2024-12-22,12,4,2024
20241223,2024-12-23,12,4,2024
20241224,2024-12-24,12,4,2024
20241225,2024-12-25,12,4,2024
20241226,2024-12-26,12,4,2024
20241227,2024-12-27,12,4,2024
20241228,2024-12-28,12,4,2024
20241229,2024-12-29,12,4,2024
20241230,2024-12-30,12,4,2024
